HomeTeam,AwayTeam,FTHG,FTAG,FTR
Kortrijk,St Truiden,1.0,1.0,D
St. Gilloise,Anderlecht,0.0,0.0,D
Gent,Antwerp,1.0,1.0,D
Club Brugge,Cercle Brugge,3.0,0.0,H
Oud-Heverlee Leuven,Standard,2.0,0.0,H
Beerschot VA,Dender,1.0,2.0,A
Mechelen,Charleroi,5.0,2.0,H
Genk,Westerlo,1.0,0.0,H
Charleroi,Kortrijk,1.0,0.0,H
Standard,Beerschot VA,1.0,0.0,H
St Truiden,St. Gilloise,0.0,0.0,D
Dender,Club Brugge,1.0,2.0,A
Antwerp,Mechelen,0.0,1.0,A
Westerlo,Oud-Heverlee Leuven,1.0,1.0,D
Gent,Westerlo,4.0,1.0,H
Kortrijk,Standard,1.0,0.0,H
Oud-Heverlee Leuven,Cercle Brugge,1.0,1.0,D
Club Brugge,Antwerp,1.0,0.0,H
Mechelen,Anderlecht,1.0,3.0,A
St Truiden,Dender,3.0,3.0,D
Beerschot VA,Genk,3.0,4.0,A
St. Gilloise,Charleroi,1.0,0.0,H
Cercle Brugge,Beerschot VA,4.0,1.0,H
Charleroi,Gent,1.0,0.0,H
Antwerp,St Truiden,6.0,1.0,H
Genk,Club Brugge,3.0,2.0,H
Anderlecht,Oud-Heverlee Leuven,1.0,1.0,D
Westerlo,St. Gilloise,4.0,3.0,H
Dender,Kortrijk,4.0,1.0,H
Standard,Mechelen,0.0,0.0,D
Gent,Dender,1.0,2.0,A
Standard,Club Brugge,1.0,0.0,H
Cercle Brugge,Kortrijk,1.0,2.0,A
Antwerp,Anderlecht,1.0,2.0,A
St Truiden,Charleroi,1.0,4.0,A
Oud-Heverlee Leuven,Genk,3.0,1.0,H
Mechelen,Westerlo,2.0,4.0,A
St. Gilloise,Beerschot VA,3.0,1.0,H
Westerlo,Cercle Brugge,3.0,0.0,H
Charleroi,Antwerp,0.0,1.0,A
Kortrijk,Gent,0.0,1.0,A
Genk,Standard,0.0,0.0,D
Anderlecht,St Truiden,1.0,0.0,H
Beerschot VA,Oud-Heverlee Leuven,0.0,0.0,D
Dender,St. Gilloise,0.0,0.0,D
Club Brugge,Mechelen,1.0,1.0,D
Genk,Gent,0.0,1.0,A
Antwerp,Anderlecht,3.0,1.0,H
Club Brugge,Cercle Brugge,0.0,0.0,D
St. Gilloise,Genk,2.0,0.0,H
Gent,St Truiden,2.0,0.0,H
Mechelen,Standard,3.0,2.0,H
Oud-Heverlee Leuven,Westerlo,1.0,2.0,A
Genk,Antwerp,1.0,0.0,H
Anderlecht,Club Brugge,0.0,1.0,A
Cercle Brugge,St. Gilloise,1.0,2.0,A
Standard,Gent,1.0,4.0,A
Westerlo,Mechelen,0.0,2.0,A
St Truiden,Oud-Heverlee Leuven,1.0,1.0,D
Club Brugge,St. Gilloise,2.0,2.0,D
Antwerp,Cercle Brugge,1.0,2.0,A
St Truiden,Mechelen,2.0,1.0,H
Gent,Oud-Heverlee Leuven,0.0,1.0,A
Anderlecht,Genk,2.0,1.0,H
Charleroi,Kortrijk,3.0,1.0,H
Eupen,RWD Molenbeek,2.0,0.0,H
Kortrijk,Eupen,1.0,0.0,H
St. Gilloise,Anderlecht,0.0,0.0,D
Oud-Heverlee Leuven,Standard,3.0,1.0,H
Antwerp,Club Brugge,1.0,2.0,A
Cercle Brugge,Genk,4.0,1.0,H
Mechelen,Gent,2.0,4.0,A
RWD Molenbeek,Charleroi,1.0,3.0,A
Westerlo,St Truiden,2.0,2.0,D
RWD Molenbeek,Kortrijk,0.0,1.0,A
St. Gilloise,Antwerp,4.0,1.0,H
Cercle Brugge,Anderlecht,1.0,1.0,D
Genk,Club Brugge,0.0,3.0,A
Gent,Westerlo,3.0,2.0,H
Standard,St Truiden,1.0,1.0,D
Mechelen,Oud-Heverlee Leuven,3.0,0.0,H
Eupen,Charleroi,1.0,2.0,A
Antwerp,St. Gilloise,0.0,3.0,A
Anderlecht,Cercle Brugge,3.0,0.0,H
Club Brugge,Genk,4.0,0.0,H
St Truiden,Gent,0.0,2.0,A
Standard,Mechelen,0.0,0.0,D
Westerlo,Oud-Heverlee Leuven,1.0,1.0,D
Charleroi,Eupen,1.0,0.0,H
St. Gilloise,Club Brugge,1.0,2.0,A
Kortrijk,RWD Molenbeek,2.0,4.0,A
Cercle Brugge,Antwerp,0.0,1.0,A
Genk,Anderlecht,2.0,1.0,H
Gent,Mechelen,3.0,1.0,H
Westerlo,Standard,3.0,3.0,D
Oud-Heverlee Leuven,St Truiden,1.0,0.0,H
Oud-Heverlee Leuven,Gent,2.0,1.0,H
Anderlecht,St. Gilloise,2.0,1.0,H
Kortrijk,Charleroi,1.0,2.0,A
Club Brugge,Antwerp,3.0,0.0,H
Genk,Cercle Brugge,1.0,1.0,D
Mechelen,Westerlo,3.0,2.0,H
RWD Molenbeek,Eupen,3.0,1.0,H
St Truiden,Standard,3.0,3.0,D
Westerlo,Gent,0.0,3.0,A
Club Brugge,Anderlecht,3.0,1.0,H
Eupen,Kortrijk,1.0,1.0,D
St. Gilloise,Cercle Brugge,2.0,3.0,A
Antwerp,Genk,0.0,1.0,A
Standard,Oud-Heverlee Leuven,0.0,0.0,D
Charleroi,RWD Molenbeek,0.0,0.0,D
Mechelen,St Truiden,2.0,3.0,A
Genk,St. Gilloise,1.0,0.0,H
Cercle Brugge,Club Brugge,1.0,1.0,D
St Truiden,Westerlo,2.0,0.0,H
Anderlecht,Antwerp,1.0,0.0,H
Oud-Heverlee Leuven,Mechelen,2.0,3.0,A
Gent,Standard,5.0,1.0,H
Cercle Brugge,RWD Molenbeek,4.0,0.0,H
Gent,Charleroi,5.0,0.0,H
Oud-Heverlee Leuven,Mechelen,1.0,0.0,H
Westerlo,Genk,1.0,1.0,D
Antwerp,St. Gilloise,1.0,1.0,D
St Truiden,Club Brugge,2.0,1.0,H
Anderlecht,Kortrijk,0.0,1.0,A
Standard,Eupen,4.0,0.0,H
Eupen,St Truiden,1.0,0.0,H
St. Gilloise,Gent,1.0,1.0,D
Club Brugge,Oud-Heverlee Leuven,3.0,1.0,H
Genk,Standard,1.0,0.0,H
RWD Molenbeek,Anderlecht,0.0,3.0,A
Charleroi,Cercle Brugge,0.0,0.0,D
Kortrijk,Antwerp,0.0,1.0,A
Mechelen,Westerlo,3.0,1.0,H
Kortrijk,RWD Molenbeek,3.0,2.0,H
Anderlecht,Eupen,1.0,0.0,H
Antwerp,St Truiden,3.0,0.0,H
Genk,Club Brugge,0.0,3.0,A
Standard,Gent,4.0,2.0,H
Oud-Heverlee Leuven,St. Gilloise,0.0,2.0,A
Cercle Brugge,Mechelen,2.0,3.0,A
Westerlo,Charleroi,0.0,1.0,A
Eupen,Cercle Brugge,0.0,2.0,A
St. Gilloise,Standard,2.0,1.0,H
Gent,Antwerp,2.0,2.0,D
Club Brugge,Anderlecht,1.0,2.0,A
Mechelen,Kortrijk,3.0,0.0,H
St Truiden,Westerlo,1.0,0.0,H
RWD Molenbeek,Oud-Heverlee Leuven,1.0,1.0,D
Charleroi,Genk,0.0,1.0,A
Eupen,Gent,0.0,2.0,A
Anderlecht,St Truiden,4.0,1.0,H
Kortrijk,St. Gilloise,1.0,3.0,A
Cercle Brugge,Club Brugge,1.0,1.0,D
Antwerp,Mechelen,0.0,1.0,A
Oud-Heverlee Leuven,Charleroi,0.0,0.0,D
Genk,RWD Molenbeek,3.0,1.0,H
Westerlo,Standard,2.0,1.0,H
Gent,Cercle Brugge,1.0,2.0,A
Charleroi,Anderlecht,1.0,3.0,A
Mechelen,Genk,1.0,1.0,D
RWD Molenbeek,Antwerp,0.0,4.0,A
Club Brugge,Eupen,4.0,0.0,H
St. Gilloise,Westerlo,2.0,2.0,D
Standard,Oud-Heverlee Leuven,1.0,0.0,H
St Truiden,Kortrijk,1.0,0.0,H
Cercle Brugge,St Truiden,4.0,1.0,H
Anderlecht,Gent,1.0,0.0,H
Eupen,Mechelen,0.0,1.0,A
Antwerp,Club Brugge,2.0,1.0,H
Genk,St. Gilloise,0.0,1.0,A
Kortrijk,Charleroi,1.0,0.0,H
Westerlo,Oud-Heverlee Leuven,0.0,3.0,A
RWD Molenbeek,Standard,2.0,2.0,D
Mechelen,Anderlecht,2.0,2.0,D
St Truiden,Gent,4.0,1.0,H
St. Gilloise,RWD Molenbeek,3.0,2.0,H
Standard,Antwerp,0.0,1.0,A
Charleroi,Eupen,1.0,0.0,H
Oud-Heverlee Leuven,Genk,2.0,1.0,H
Club Brugge,Kortrijk,3.0,3.0,D
Westerlo,Cercle Brugge,4.0,2.0,H
Mechelen,RWD Molenbeek,3.0,1.0,H
Anderlecht,St. Gilloise,2.0,2.0,D
Eupen,Antwerp,1.0,0.0,H
St Truiden,Genk,1.0,1.0,D
Charleroi,Club Brugge,1.0,4.0,A
Gent,Westerlo,2.0,2.0,D
Kortrijk,Oud-Heverlee Leuven,0.0,0.0,D
Cercle Brugge,Standard,1.0,1.0,D
RWD Molenbeek,Eupen,0.0,1.0,A
Oud-Heverlee Leuven,Anderlecht,1.0,1.0,D
St. Gilloise,St Truiden,2.0,1.0,H
Antwerp,Charleroi,4.0,1.0,H
Club Brugge,Westerlo,3.0,0.0,H
Standard,Kortrijk,0.0,1.0,A
Genk,Cercle Brugge,1.0,1.0,D
Gent,Mechelen,1.0,2.0,A
Anderlecht,Cercle Brugge,2.0,0.0,H
Charleroi,Mechelen,3.0,1.0,H
Standard,St Truiden,1.0,1.0,D
Club Brugge,St. Gilloise,1.0,1.0,D
Westerlo,RWD Molenbeek,3.0,0.0,H
Kortrijk,Gent,0.0,2.0,A
Oud-Heverlee Leuven,Eupen,3.0,0.0,H
Genk,Antwerp,3.0,0.0,H
Anderlecht,Genk,2.0,1.0,H
Antwerp,Westerlo,2.0,2.0,D
St Truiden,Charleroi,1.0,0.0,H
Eupen,St. Gilloise,1.0,2.0,A
RWD Molenbeek,Club Brugge,1.0,6.0,A
Gent,Oud-Heverlee Leuven,4.0,0.0,H
Mechelen,Standard,3.0,0.0,H
Cercle Brugge,Kortrijk,3.0,0.0,H
Genk,Kortrijk,4.0,0.0,H
Antwerp,Anderlecht,1.0,1.0,D
St. Gilloise,Mechelen,1.0,0.0,H
Club Brugge,Gent,2.0,0.0,H
Standard,Charleroi,0.0,0.0,D
RWD Molenbeek,St Truiden,3.0,0.0,H
Oud-Heverlee Leuven,Cercle Brugge,1.0,2.0,A
Westerlo,Eupen,2.0,0.0,H
Charleroi,St. Gilloise,1.0,3.0,A
Anderlecht,Standard,2.0,2.0,D
Eupen,Genk,1.0,3.0,A
Mechelen,Club Brugge,0.0,0.0,D
Gent,RWD Molenbeek,4.0,0.0,H
St Truiden,Oud-Heverlee Leuven,1.0,1.0,D
Cercle Brugge,Antwerp,1.0,3.0,A
Kortrijk,Westerlo,1.0,2.0,A
St. Gilloise,Cercle Brugge,2.0,1.0,H
Club Brugge,Standard,2.0,0.0,H
Mechelen,St Truiden,0.0,2.0,A
Genk,Gent,2.0,2.0,D
Antwerp,Oud-Heverlee Leuven,1.0,0.0,H
Eupen,Kortrijk,1.0,1.0,D
RWD Molenbeek,Charleroi,0.0,0.0,D
Westerlo,Anderlecht,1.0,3.0,A
Kortrijk,Mechelen,0.0,3.0,A
Anderlecht,RWD Molenbeek,2.0,1.0,H
Oud-Heverlee Leuven,Club Brugge,0.0,1.0,A
Gent,St. Gilloise,1.0,1.0,D
Standard,Genk,1.0,0.0,H
Charleroi,Westerlo,3.0,2.0,H
Cercle Brugge,Eupen,2.0,0.0,H
St Truiden,Antwerp,1.0,1.0,D
St. Gilloise,Kortrijk,3.0,0.0,H
Gent,Anderlecht,1.0,1.0,D
Genk,Oud-Heverlee Leuven,3.0,1.0,H
Club Brugge,Cercle Brugge,0.0,0.0,D
Mechelen,Charleroi,1.0,0.0,H
Eupen,RWD Molenbeek,1.0,3.0,A
Antwerp,Standard,6.0,0.0,H
Westerlo,St Truiden,3.0,3.0,D
Charleroi,Gent,1.0,3.0,A
St. Gilloise,Club Brugge,2.0,1.0,H
Standard,Mechelen,1.0,1.0,D
Cercle Brugge,Anderlecht,0.0,3.0,A
Antwerp,Genk,3.0,2.0,H
Oud-Heverlee Leuven,Westerlo,0.0,2.0,A
RWD Molenbeek,Kortrijk,1.0,1.0,D
St Truiden,Eupen,1.0,1.0,D
Kortrijk,Genk,0.0,3.0,A
Gent,Standard,3.0,1.0,H
Westerlo,St. Gilloise,1.0,3.0,A
Club Brugge,Antwerp,2.0,1.0,H
Anderlecht,Oud-Heverlee Leuven,5.0,1.0,H
Eupen,Charleroi,2.0,0.0,H
Mechelen,Cercle Brugge,0.0,2.0,A
St Truiden,RWD Molenbeek,2.0,1.0,H
Oud-Heverlee Leuven,St Truiden,4.0,0.0,H
Standard,Anderlecht,3.0,2.0,H
Cercle Brugge,Gent,2.0,0.0,H
Genk,Mechelen,4.0,0.0,H
Charleroi,Antwerp,3.0,2.0,H
RWD Molenbeek,Westerlo,1.0,1.0,D
Kortrijk,Club Brugge,1.0,0.0,H
St. Gilloise,Eupen,4.0,1.0,H
St Truiden,St. Gilloise,0.0,4.0,A
Gent,Genk,1.0,1.0,D
Antwerp,Eupen,4.0,1.0,H
Standard,Club Brugge,2.0,1.0,H
Anderlecht,Mechelen,3.0,1.0,H
Westerlo,Kortrijk,1.0,0.0,H
Cercle Brugge,Oud-Heverlee Leuven,3.0,2.0,H
Charleroi,RWD Molenbeek,2.0,1.0,H
RWD Molenbeek,Gent,1.0,1.0,D
Club Brugge,St Truiden,1.0,1.0,D
Genk,Westerlo,3.0,3.0,D
St. Gilloise,Charleroi,3.0,1.0,H
Mechelen,Antwerp,0.0,0.0,D
Oud-Heverlee Leuven,Standard,1.0,2.0,A
Eupen,Anderlecht,1.0,3.0,A
Kortrijk,Cercle Brugge,2.0,1.0,H
Club Brugge,Genk,1.0,1.0,D
RWD Molenbeek,St. Gilloise,2.0,3.0,A
Antwerp,Gent,0.0,0.0,D
Gent,Eupen,2.0,1.0,H
Anderlecht,Club Brugge,1.0,1.0,D
Cercle Brugge,St. Gilloise,0.0,2.0,A
Genk,St Truiden,3.0,3.0,D
Antwerp,RWD Molenbeek,0.0,0.0,D
Mechelen,Oud-Heverlee Leuven,1.0,2.0,A
Charleroi,Kortrijk,1.0,0.0,H
Standard,Westerlo,0.0,0.0,D
St Truiden,Mechelen,2.0,0.0,H
Oud-Heverlee Leuven,Gent,1.0,1.0,D
Kortrijk,Anderlecht,2.0,2.0,D
Eupen,Standard,1.0,3.0,A
Club Brugge,Charleroi,4.0,2.0,H
St. Gilloise,Genk,0.0,2.0,A
RWD Molenbeek,Cercle Brugge,2.0,1.0,H
Westerlo,Antwerp,0.0,3.0,A
Charleroi,St Truiden,1.0,1.0,D
Genk,Anderlecht,1.0,1.0,D
St. Gilloise,Antwerp,2.0,2.0,D
Gent,Club Brugge,2.0,1.0,H
Standard,RWD Molenbeek,1.0,1.0,D
Mechelen,Eupen,1.0,0.0,H
Cercle Brugge,Westerlo,2.0,1.0,H
Oud-Heverlee Leuven,Kortrijk,3.0,0.0,H
Anderlecht,Charleroi,2.0,1.0,H
St Truiden,Cercle Brugge,0.0,2.0,A
Kortrijk,Standard,1.0,1.0,D
Eupen,Oud-Heverlee Leuven,3.0,1.0,H
Westerlo,Mechelen,2.0,3.0,A
Kortrijk,Eupen,1.0,3.0,A
Club Brugge,RWD Molenbeek,7.0,1.0,H
Genk,Charleroi,0.0,0.0,D
Gent,St Truiden,2.0,2.0,D
Anderlecht,Westerlo,2.0,1.0,H
Mechelen,St. Gilloise,4.0,0.0,H
Standard,Cercle Brugge,0.0,1.0,A
Oud-Heverlee Leuven,Antwerp,1.0,1.0,D
Westerlo,Gent,1.0,3.0,A
Charleroi,Standard,1.0,1.0,D
Cercle Brugge,Genk,0.0,1.0,A
Eupen,Club Brugge,0.0,5.0,A
St Truiden,Anderlecht,0.0,1.0,A
St. Gilloise,Oud-Heverlee Leuven,5.0,1.0,H
RWD Molenbeek,Mechelen,1.0,0.0,H
Antwerp,Kortrijk,6.0,0.0,H
Kortrijk,St Truiden,0.0,1.0,A
Westerlo,Club Brugge,0.0,1.0,A
Mechelen,Gent,0.0,1.0,A
Anderlecht,Antwerp,1.0,0.0,H
Oud-Heverlee Leuven,RWD Molenbeek,1.0,2.0,A
Cercle Brugge,Charleroi,2.0,0.0,H
Genk,Eupen,0.0,1.0,A
Standard,St. Gilloise,0.0,1.0,A
St Truiden,Standard,1.0,0.0,H
Club Brugge,Mechelen,1.0,1.0,D
Gent,Kortrijk,3.0,2.0,H
Antwerp,Cercle Brugge,1.0,0.0,H
RWD Molenbeek,Genk,0.0,4.0,A
Charleroi,Oud-Heverlee Leuven,1.0,1.0,D
Eupen,Westerlo,2.0,2.0,D
St. Gilloise,Anderlecht,2.0,0.0,H
Anderlecht,Mechelen,2.0,3.0,A
Charleroi,Genk,2.0,2.0,D
Club Brugge,Eupen,7.0,0.0,H
Gent,Oostende,1.0,2.0,A
Kortrijk,St. Gilloise,2.0,4.0,A
Oud-Heverlee Leuven,Standard,3.0,2.0,H
Waregem,Cercle Brugge,2.0,3.0,A
St Truiden,Antwerp,0.0,1.0,A
Seraing,Westerlo,1.0,1.0,D
St. Gilloise,Seraing,2.0,1.0,H
Antwerp,Kortrijk,1.0,0.0,H
Mechelen,Gent,1.0,1.0,D
Genk,Anderlecht,5.0,2.0,H
Westerlo,Club Brugge,0.0,0.0,D
Cercle Brugge,St Truiden,3.0,1.0,H
Oostende,Oud-Heverlee Leuven,0.0,4.0,A
Eupen,Waregem,1.0,5.0,A
Standard,Charleroi,3.0,1.0,H
St Truiden,Oostende,5.0,0.0,H
Standard,Genk,2.0,0.0,H
Antwerp,Cercle Brugge,2.0,1.0,H
Anderlecht,Westerlo,0.0,0.0,D
Gent,St. Gilloise,1.0,1.0,D
Charleroi,Waregem,3.0,2.0,H
Kortrijk,Eupen,0.0,0.0,D
Oud-Heverlee Leuven,Mechelen,4.0,1.0,H
Club Brugge,Seraing,2.0,0.0,H
St. Gilloise,St Truiden,2.0,1.0,H
Mechelen,Club Brugge,0.0,3.0,A
Eupen,Anderlecht,0.0,1.0,A
Genk,Oud-Heverlee Leuven,2.0,1.0,H
Oostende,Standard,1.0,3.0,A
Seraing,Gent,0.0,5.0,A
Westerlo,Charleroi,2.0,3.0,A
Cercle Brugge,Kortrijk,2.0,0.0,H
Waregem,Antwerp,0.0,2.0,A
Gent,Eupen,3.0,0.0,H
St. Gilloise,Mechelen,2.0,1.0,H
Oud-Heverlee Leuven,Anderlecht,0.0,2.0,A
Antwerp,Charleroi,0.0,1.0,A
Standard,Waregem,2.0,2.0,D
Oostende,Westerlo,1.0,2.0,A
St Truiden,Seraing,2.0,1.0,H
Kortrijk,Club Brugge,1.0,0.0,H
Cercle Brugge,Genk,1.0,1.0,D
Anderlecht,Cercle Brugge,2.0,0.0,H
Genk,St. Gilloise,1.0,2.0,A
Waregem,Gent,2.0,6.0,A
Club Brugge,Standard,2.0,0.0,H
Seraing,Antwerp,0.0,2.0,A
Eupen,Oostende,4.0,4.0,D
Westerlo,Kortrijk,3.0,1.0,H
Mechelen,St Truiden,1.0,0.0,H
Charleroi,Oud-Heverlee Leuven,0.0,1.0,A
St. Gilloise,Eupen,2.0,1.0,H
Gent,Anderlecht,1.0,0.0,H
Antwerp,Mechelen,5.0,0.0,H
St Truiden,Genk,2.0,2.0,D
Standard,Westerlo,2.0,0.0,H
Cercle Brugge,Seraing,3.0,1.0,H
Oud-Heverlee Leuven,Waregem,4.0,2.0,H
Kortrijk,Charleroi,0.0,1.0,A
Oostende,Club Brugge,3.0,0.0,H
Charleroi,St Truiden,1.0,0.0,H
Anderlecht,Standard,2.0,2.0,D
Oud-Heverlee Leuven,Antwerp,1.0,1.0,D
Club Brugge,Gent,2.0,0.0,H
Westerlo,St. Gilloise,4.0,2.0,H
Eupen,Cercle Brugge,2.0,2.0,D
Genk,Oostende,3.0,0.0,H
Seraing,Mechelen,0.0,2.0,A
Waregem,Kortrijk,3.0,3.0,D
St Truiden,Westerlo,0.0,1.0,A
Kortrijk,Anderlecht,2.0,2.0,D
Gent,Oud-Heverlee Leuven,2.0,0.0,H
Cercle Brugge,Club Brugge,2.0,2.0,D
St. Gilloise,Standard,2.0,4.0,A
Oostende,Charleroi,0.0,0.0,D
Seraing,Waregem,1.0,1.0,D
Antwerp,Eupen,2.0,0.0,H
Mechelen,Genk,2.0,2.0,D
Waregem,Oostende,1.0,1.0,D
Standard,Kortrijk,0.0,2.0,A
Anderlecht,St Truiden,3.0,1.0,H
Genk,Antwerp,0.0,1.0,A
Charleroi,Seraing,3.0,0.0,H
Westerlo,Gent,3.0,3.0,D
Club Brugge,St. Gilloise,1.0,1.0,D
Eupen,Mechelen,2.0,1.0,H
Oud-Heverlee Leuven,Cercle Brugge,0.0,0.0,D
St. Gilloise,Waregem,4.0,0.0,H
Gent,Genk,2.0,3.0,A
Mechelen,Charleroi,2.0,2.0,D
Antwerp,Club Brugge,0.0,0.0,D
St Truiden,Kortrijk,1.0,0.0,H
Eupen,Westerlo,1.0,1.0,D
Seraing,Oud-Heverlee Leuven,2.0,1.0,H
Cercle Brugge,Standard,1.0,1.0,D
Oostende,Anderlecht,0.0,2.0,A
Eupen,Genk,1.0,1.0,D
Genk,Seraing,4.0,0.0,H
Waregem,Club Brugge,1.0,2.0,A
Cercle Brugge,Gent,3.0,2.0,H
Anderlecht,Antwerp,0.0,0.0,D
Charleroi,St. Gilloise,0.0,1.0,A
Kortrijk,Oostende,2.0,2.0,D
Oud-Heverlee Leuven,St Truiden,1.0,1.0,D
Westerlo,Mechelen,2.0,0.0,H
Standard,Eupen,3.0,1.0,H
St Truiden,Gent,0.0,3.0,A
Club Brugge,Charleroi,2.0,2.0,D
Seraing,Anderlecht,0.0,1.0,A
Antwerp,Standard,4.0,1.0,H
St. Gilloise,Oud-Heverlee Leuven,1.0,0.0,H
Mechelen,Kortrijk,3.0,2.0,H
Oostende,Cercle Brugge,1.0,2.0,A
Waregem,Westerlo,1.0,1.0,D
St Truiden,Club Brugge,1.0,1.0,D
Gent,Charleroi,0.0,0.0,D
Anderlecht,Waregem,2.0,3.0,A
Kortrijk,Seraing,3.0,2.0,H
Cercle Brugge,St. Gilloise,1.0,1.0,D
Oostende,Antwerp,0.0,3.0,A
Standard,Mechelen,2.0,0.0,H
Westerlo,Genk,2.0,3.0,A
Oud-Heverlee Leuven,Eupen,1.0,1.0,D
Charleroi,Cercle Brugge,2.0,1.0,H
St. Gilloise,Antwerp,2.0,0.0,H
Gent,Kortrijk,2.0,1.0,H
Club Brugge,Anderlecht,1.0,1.0,D
Genk,Waregem,1.0,0.0,H
Eupen,St Truiden,0.0,2.0,A
Mechelen,Oostende,2.0,1.0,H
Seraing,Standard,1.0,1.0,D
Westerlo,Oud-Heverlee Leuven,1.0,2.0,A
Oud-Heverlee Leuven,Kortrijk,2.0,3.0,A
Anderlecht,St. Gilloise,1.0,3.0,A
Waregem,Mechelen,2.0,0.0,H
