HomeTeam,AwayTeam,FTHG,FTAG,FTR
Genk,Club Brugge,3.0,1.0,H
Antwerp,Gent,2.0,0.0,H
Cercle Brugge,Westerlo,0.0,1.0,A
Oostende,Seraing,1.0,2.0,A
Eupen,Charleroi,1.0,2.0,A
Standard,St Truiden,1.0,1.0,D
St Truiden,Waregem,2.0,0.0,H
Westerlo,Antwerp,3.0,3.0,D
Charleroi,Anderlecht,0.0,1.0,A
Kortrijk,Genk,1.0,0.0,H
St. Gilloise,Oostende,3.0,0.0,H
Club Brugge,Oud-Heverlee Leuven,1.0,1.0,D
Gent,Standard,0.0,0.0,D
Mechelen,Cercle Brugge,1.0,1.0,D
Seraing,Eupen,0.0,1.0,A
Kortrijk,Gent,0.0,4.0,A
Anderlecht,Genk,0.0,2.0,A
Standard,St. Gilloise,2.0,3.0,A
Club Brugge,Antwerp,2.0,2.0,D
Charleroi,Mechelen,0.0,5.0,A
St Truiden,Cercle Brugge,0.0,1.0,A
Waregem,Eupen,5.0,5.0,D
Westerlo,Oostende,6.0,0.0,H
Oud-Heverlee Leuven,Seraing,5.0,0.0,H
Oostende,Kortrijk,3.0,1.0,H
Antwerp,Anderlecht,0.0,0.0,D
St. Gilloise,Westerlo,1.0,1.0,D
Gent,Club Brugge,2.0,0.0,H
Eupen,Standard,2.0,0.0,H
Cercle Brugge,Oud-Heverlee Leuven,2.0,1.0,H
Seraing,St Truiden,1.0,2.0,A
Mechelen,Waregem,2.0,2.0,D
Genk,Charleroi,4.0,1.0,H
Charleroi,Antwerp,1.0,0.0,H
Oud-Heverlee Leuven,Gent,1.0,1.0,D
Seraing,St. Gilloise,1.0,2.0,A
Anderlecht,Eupen,4.0,2.0,H
Club Brugge,Oostende,4.0,2.0,H
Kortrijk,Cercle Brugge,1.0,1.0,D
Westerlo,St Truiden,2.0,3.0,A
Waregem,Standard,0.0,3.0,A
Genk,Mechelen,3.0,1.0,H
Oostende,Waregem,2.0,1.0,H
Standard,Anderlecht,5.0,0.0,H
Gent,Seraing,2.0,1.0,H
Antwerp,Genk,1.0,3.0,A
St. Gilloise,Club Brugge,2.0,2.0,D
Mechelen,Eupen,2.0,1.0,H
St Truiden,Oud-Heverlee Leuven,0.0,0.0,D
Kortrijk,Westerlo,0.0,2.0,A
Cercle Brugge,Charleroi,4.0,1.0,H
Waregem,Anderlecht,3.0,2.0,H
Antwerp,Oostende,3.0,0.0,H
Club Brugge,St Truiden,3.0,0.0,H
Mechelen,Standard,2.0,0.0,H
St. Gilloise,Gent,2.0,0.0,H
Genk,Westerlo,6.0,1.0,H
Seraing,Cercle Brugge,0.0,1.0,A
Charleroi,Kortrijk,2.0,2.0,D
Eupen,Oud-Heverlee Leuven,4.0,2.0,H
Oostende,St. Gilloise,1.0,6.0,A
Anderlecht,Club Brugge,0.0,1.0,A
Gent,Mechelen,3.0,0.0,H
Standard,Antwerp,3.0,0.0,H
Oud-Heverlee Leuven,Genk,0.0,1.0,A
Cercle Brugge,Eupen,5.0,1.0,H
St Truiden,Charleroi,2.0,1.0,H
Kortrijk,Waregem,1.0,3.0,A
Westerlo,Seraing,2.0,2.0,D
St. Gilloise,Cercle Brugge,2.0,1.0,H
Charleroi,Standard,0.0,1.0,A
Eupen,Gent,0.0,4.0,A
Mechelen,Anderlecht,1.0,3.0,A
Club Brugge,Westerlo,0.0,2.0,A
Seraing,Oostende,1.0,1.0,D
Waregem,Oud-Heverlee Leuven,2.0,5.0,A
Genk,Kortrijk,2.0,1.0,H
Antwerp,St Truiden,2.0,0.0,H
St Truiden,Eupen,0.0,1.0,A
Kortrijk,Antwerp,2.0,1.0,H
Gent,Cercle Brugge,3.0,4.0,A
Anderlecht,Charleroi,0.0,1.0,A
Club Brugge,Mechelen,3.0,0.0,H
Oostende,Genk,1.0,2.0,A
Westerlo,Waregem,2.0,0.0,H
Oud-Heverlee Leuven,St. Gilloise,0.0,3.0,A
Standard,Seraing,0.0,2.0,A
Anderlecht,Kortrijk,4.0,1.0,H
Standard,Club Brugge,3.0,0.0,H
Eupen,St. Gilloise,1.0,2.0,A
Genk,Gent,1.0,0.0,H
Charleroi,Westerlo,2.0,3.0,A
Cercle Brugge,Oostende,2.0,2.0,D
Waregem,St Truiden,0.0,3.0,A
Mechelen,Oud-Heverlee Leuven,0.0,0.0,D
Antwerp,Seraing,2.0,1.0,H
Gent,Waregem,2.0,0.0,H
St. Gilloise,Genk,1.0,2.0,A
Cercle Brugge,Antwerp,0.0,2.0,A
Westerlo,Anderlecht,2.0,1.0,H
Oud-Heverlee Leuven,Charleroi,3.0,2.0,H
Oostende,Eupen,1.0,0.0,H
Seraing,Club Brugge,0.0,2.0,A
Kortrijk,Mechelen,1.0,4.0,A
St Truiden,Standard,1.0,2.0,A
Waregem,St. Gilloise,1.0,3.0,A
Charleroi,Gent,2.0,1.0,H
Antwerp,Westerlo,3.0,0.0,H
Anderlecht,Oud-Heverlee Leuven,2.0,2.0,D
Standard,Oostende,1.0,0.0,H
Eupen,Kortrijk,0.0,1.0,A
Mechelen,Seraing,2.0,3.0,A
Genk,St Truiden,0.0,0.0,D
Club Brugge,Cercle Brugge,4.0,0.0,H
Anderlecht,Gent,0.0,1.0,A
Antwerp,St. Gilloise,4.0,2.0,H
Westerlo,Eupen,0.0,1.0,A
St. Gilloise,Anderlecht,2.0,1.0,H
Kortrijk,Standard,0.0,1.0,A
Gent,Antwerp,1.0,2.0,A
St Truiden,Mechelen,3.0,1.0,H
Cercle Brugge,Waregem,1.0,1.0,D
Oud-Heverlee Leuven,Oostende,2.0,1.0,H
Seraing,Genk,0.0,4.0,A
Charleroi,Club Brugge,1.0,3.0,A
Mechelen,Westerlo,5.0,4.0,H
Standard,Oud-Heverlee Leuven,1.0,3.0,A
Waregem,Charleroi,1.0,3.0,A
Club Brugge,Kortrijk,2.0,1.0,H
Genk,Cercle Brugge,2.0,1.0,H
Oostende,St Truiden,0.0,1.0,A
Eupen,Seraing,1.0,3.0,A
Waregem,Genk,1.0,4.0,A
Oud-Heverlee Leuven,Club Brugge,0.0,3.0,A
Eupen,Antwerp,0.0,1.0,A
St Truiden,Anderlecht,0.0,3.0,A
St. Gilloise,Kortrijk,2.0,1.0,H
Cercle Brugge,Mechelen,0.0,0.0,D
Seraing,Charleroi,0.0,1.0,A
Westerlo,Standard,4.0,2.0,H
Oostende,Gent,1.0,3.0,A
Antwerp,Oud-Heverlee Leuven,4.0,2.0,H
Anderlecht,Seraing,3.0,1.0,H
Gent,Westerlo,2.0,1.0,H
Standard,Cercle Brugge,2.0,0.0,H
Mechelen,St. Gilloise,3.0,0.0,H
Charleroi,Oostende,1.0,3.0,A
Kortrijk,St Truiden,0.0,0.0,D
Genk,Eupen,4.0,2.0,H
Club Brugge,Waregem,1.0,1.0,D
Antwerp,Waregem,1.0,0.0,H
Seraing,Kortrijk,0.0,1.0,A
Eupen,Club Brugge,2.0,1.0,H
Genk,Standard,3.0,1.0,H
Gent,St Truiden,1.0,1.0,D
Oostende,Mechelen,2.0,1.0,H
Oud-Heverlee Leuven,Westerlo,2.0,0.0,H
Cercle Brugge,Anderlecht,1.0,0.0,H
St. Gilloise,Charleroi,1.0,0.0,H
Westerlo,Cercle Brugge,2.0,0.0,H
Anderlecht,Oostende,2.0,0.0,H
Mechelen,Antwerp,0.0,2.0,A
Club Brugge,Genk,3.0,2.0,H
St Truiden,St. Gilloise,1.0,1.0,D
Kortrijk,Oud-Heverlee Leuven,0.0,2.0,A
Waregem,Seraing,2.0,0.0,H
Charleroi,Eupen,3.0,1.0,H
Standard,Gent,2.0,2.0,D
Charleroi,Waregem,3.0,0.0,H
Club Brugge,Mechelen,2.0,0.0,H
Gent,Oud-Heverlee Leuven,5.0,0.0,H
Kortrijk,Anderlecht,2.0,3.0,A
Seraing,Genk,0.0,2.0,A
St. Gilloise,Beerschot VA,5.0,0.0,H
St Truiden,Standard,3.0,0.0,H
Antwerp,Cercle Brugge,1.0,1.0,D
Eupen,Oostende,0.0,2.0,A
Genk,Eupen,5.0,0.0,H
Anderlecht,Charleroi,4.0,0.0,H
Cercle Brugge,Gent,2.0,2.0,D
Standard,St. Gilloise,1.0,3.0,A
Oud-Heverlee Leuven,Antwerp,0.0,1.0,A
Mechelen,Kortrijk,3.0,2.0,H
Oostende,Seraing,2.0,2.0,D
Waregem,St Truiden,0.0,2.0,A
Beerschot VA,Club Brugge,1.0,3.0,A
St Truiden,Beerschot VA,3.0,2.0,H
Gent,Anderlecht,1.0,0.0,H
Kortrijk,Standard,0.0,1.0,A
Club Brugge,Genk,3.0,1.0,H
Antwerp,Waregem,1.0,0.0,H
Charleroi,Cercle Brugge,5.0,0.0,H
Seraing,Oud-Heverlee Leuven,1.0,1.0,D
Eupen,Mechelen,1.0,1.0,D
St. Gilloise,Oostende,1.0,1.0,D
Standard,Seraing,0.0,1.0,A
Beerschot VA,Gent,0.0,2.0,A
Genk,St Truiden,0.0,1.0,A
Anderlecht,Antwerp,2.0,1.0,H
Oostende,Club Brugge,1.0,3.0,A
Cercle Brugge,Kortrijk,2.0,0.0,H
Waregem,Eupen,3.0,0.0,H
Mechelen,Charleroi,2.0,2.0,D
Oud-Heverlee Leuven,St. Gilloise,1.0,4.0,A
Eupen,Oud-Heverlee Leuven,3.0,1.0,H
Gent,Waregem,2.0,1.0,H
Charleroi,Standard,0.0,0.0,D
Anderlecht,Oostende,3.0,0.0,H
Antwerp,Beerschot VA,2.0,1.0,H
Seraing,Club Brugge,0.0,5.0,A
Kortrijk,St. Gilloise,2.0,3.0,A
Cercle Brugge,Genk,2.0,2.0,D
St Truiden,Mechelen,1.0,1.0,D
Standard,Beerschot VA,1.0,0.0,H
Waregem,Seraing,1.0,0.0,H
Standard,Gent,0.0,1.0,A
Genk,Kortrijk,2.0,0.0,H
Club Brugge,Antwerp,4.0,1.0,H
Oud-Heverlee Leuven,Anderlecht,0.0,0.0,D
Mechelen,Cercle Brugge,2.0,2.0,D
Oostende,St Truiden,0.0,0.0,D
St. Gilloise,Eupen,0.0,0.0,D
Beerschot VA,Charleroi,2.0,3.0,A
Gent,Seraing,4.0,0.0,H
St Truiden,Oud-Heverlee Leuven,2.0,0.0,H
Anderlecht,Genk,2.0,0.0,H
Eupen,Club Brugge,1.0,3.0,A
Antwerp,Mechelen,1.0,2.0,A
Charleroi,St. Gilloise,0.0,3.0,A
Kortrijk,Waregem,5.0,0.0,H
Oostende,Standard,1.0,0.0,H
Cercle Brugge,Beerschot VA,2.0,0.0,H
Genk,Mechelen,4.0,1.0,H
Beerschot VA,Kortrijk,2.0,1.0,H
Club Brugge,Charleroi,2.0,0.0,H
St. Gilloise,St Truiden,0.0,1.0,A
Genk,Standard,2.0,0.0,H
Waregem,Anderlecht,1.0,2.0,A
Mechelen,Oostende,3.0,0.0,H
Oud-Heverlee Leuven,Cercle Brugge,3.0,2.0,H
Eupen,Gent,0.0,1.0,A
Seraing,Antwerp,0.0,1.0,A
Oud-Heverlee Leuven,Genk,2.0,1.0,H
Waregem,Oostende,0.0,0.0,D
Genk,Waregem,2.0,0.0,H
Anderlecht,Eupen,4.0,1.0,H
Mechelen,Beerschot VA,3.0,2.0,H
Club Brugge,Gent,1.0,2.0,A
Antwerp,St. Gilloise,0.0,2.0,A
Oostende,Oud-Heverlee Leuven,1.0,3.0,A
Standard,Cercle Brugge,1.0,1.0,D
Kortrijk,St Truiden,1.0,3.0,A
Charleroi,Seraing,2.0,0.0,H
Kortrijk,Antwerp,0.0,2.0,A
Kortrijk,Club Brugge,0.0,1.0,A
Standard,Mechelen,1.0,2.0,A
Gent,Antwerp,0.0,1.0,A
St. Gilloise,Anderlecht,1.0,0.0,H
Cercle Brugge,Oostende,0.0,1.0,A
Seraing,Eupen,0.0,0.0,D
Beerschot VA,Waregem,3.0,3.0,D
St Truiden,Charleroi,0.0,1.0,A
Club Brugge,St. Gilloise,0.0,0.0,D
Anderlecht,Cercle Brugge,0.0,2.0,A
Seraing,Beerschot VA,2.0,1.0,H
Eupen,Standard,0.0,2.0,A
Waregem,Oud-Heverlee Leuven,1.0,1.0,D
Charleroi,Kortrijk,1.0,1.0,D
Gent,Oostende,1.0,1.0,D
Antwerp,St Truiden,1.0,1.0,D
Cercle Brugge,Waregem,3.0,1.0,H
Mechelen,Anderlecht,0.0,1.0,A
St. Gilloise,Genk,2.0,1.0,H
Standard,Club Brugge,2.0,2.0,D
Charleroi,Gent,0.0,0.0,D
Beerschot VA,Oud-Heverlee Leuven,3.0,1.0,H
St Truiden,Seraing,3.0,1.0,H
Kortrijk,Eupen,1.0,1.0,D
Oostende,Antwerp,1.0,2.0,A
Seraing,St. Gilloise,0.0,4.0,A
Genk,Beerschot VA,4.0,1.0,H
Anderlecht,Standard,1.0,1.0,D
Eupen,Cercle Brugge,0.0,2.0,A
Antwerp,Charleroi,3.0,0.0,H
Club Brugge,St Truiden,2.0,0.0,H
Oud-Heverlee Leuven,Mechelen,5.0,0.0,H
Gent,Kortrijk,2.0,2.0,D
Beerschot VA,Anderlecht,0.0,7.0,A
St Truiden,Eupen,2.0,0.0,H
Charleroi,Oud-Heverlee Leuven,0.0,3.0,A
Mechelen,Seraing,2.0,0.0,H
Oostende,Genk,0.0,4.0,A
St. Gilloise,Gent,0.0,0.0,D
Standard,Waregem,0.0,1.0,A
Cercle Brugge,Club Brugge,2.0,0.0,H
Oud-Heverlee Leuven,Standard,2.0,1.0,H
Genk,Antwerp,1.0,1.0,D
Eupen,Charleroi,0.0,4.0,A
Club Brugge,Anderlecht,2.0,2.0,D
Gent,St Truiden,2.0,1.0,H
St. Gilloise,Cercle Brugge,3.0,2.0,H
Waregem,Mechelen,3.0,2.0,H
Beerschot VA,Oostende,0.0,2.0,A
Seraing,Kortrijk,0.0,2.0,A
Genk,Charleroi,4.0,2.0,H
Antwerp,Eupen,4.0,2.0,H
Oud-Heverlee Leuven,Club Brugge,1.0,4.0,A
Mechelen,Gent,4.0,3.0,H
Waregem,St. Gilloise,0.0,2.0,A
Anderlecht,St Truiden,2.0,0.0,H
Oostende,Kortrijk,0.0,2.0,A
Cercle Brugge,Seraing,2.0,0.0,H
Club Brugge,Waregem,3.0,0.0,H
Gent,Genk,1.0,0.0,H
St. Gilloise,Mechelen,2.0,0.0,H
Antwerp,Standard,2.0,3.0,A
Seraing,Anderlecht,0.0,5.0,A
Eupen,Beerschot VA,1.0,0.0,H
St Truiden,Cercle Brugge,1.0,2.0,A
Kortrijk,Oud-Heverlee Leuven,2.0,1.0,H
Charleroi,Oostende,1.0,0.0,H
Mechelen,Genk,1.0,1.0,D
Standard,Charleroi,0.0,3.0,A
Anderlecht,Waregem,3.0,2.0,H
Beerschot VA,Antwerp,0.0,1.0,A
Club Brugge,Seraing,3.0,2.0,H
Kortrijk,Cercle Brugge,0.0,2.0,A
Oostende,Eupen,2.0,1.0,H
Oud-Heverlee Leuven,Gent,0.0,1.0,A
St Truiden,St. Gilloise,1.0,2.0,A
Antwerp,Oostende,3.0,0.0,H
Gent,Standard,3.0,1.0,H
Waregem,Beerschot VA,2.0,0.0,H
Genk,Club Brugge,2.0,3.0,A
Charleroi,Anderlecht,1.0,3.0,A
Cercle Brugge,Mechelen,3.0,1.0,H
Eupen,Kortrijk,2.0,2.0,D
Seraing,St Truiden,2.0,0.0,H
St. Gilloise,Oud-Heverlee Leuven,1.0,3.0,A
Beerschot VA,Genk,2.0,0.0,H
Oostende,St. Gilloise,1.0,7.0,A
St Truiden,Antwerp,2.0,1.0,H
Anderlecht,Kortrijk,1.0,1.0,D
Standard,Eupen,1.0,0.0,H
Oud-Heverlee Leuven,Seraing,1.0,3.0,A
Waregem,Gent,1.0,2.0,A
Cercle Brugge,Charleroi,1.0,2.0,A
Mechelen,Club Brugge,2.0,1.0,H
Genk,Cercle Brugge,1.0,1.0,D
Antwerp,Anderlecht,2.0,0.0,H
Seraing,Gent,0.0,0.0,D
Club Brugge,Standard,2.0,2.0,D
St. Gilloise,Charleroi,4.0,0.0,H
Kortrijk,Beerschot VA,1.0,1.0,D
Mechelen,St Truiden,0.0,1.0,A
Eupen,Waregem,1.0,1.0,D
Oud-Heverlee Leuven,Oostende,1.0,0.0,H
Gent,St. Gilloise,0.0,2.0,A
Anderlecht,Oud-Heverlee Leuven,2.0,2.0,D
Cercle Brugge,Antwerp,0.0,1.0,A
Waregem,Genk,2.0,6.0,A
St Truiden,Club Brugge,1.0,2.0,A
Beerschot VA,Seraing,3.0,0.0,H
Standard,Kortrijk,1.0,1.0,D
Charleroi,Eupen,3.0,0.0,H
Oostende,Mechelen,2.0,4.0,A
Oud-Heverlee Leuven,St Truiden,4.0,1.0,H
Genk,Gent,0.0,3.0,A
Anderlecht,Beerschot VA,4.0,2.0,H
Antwerp,Club Brugge,1.0,1.0,D
Eupen,St. Gilloise,2.0,3.0,A
Kortrijk,Oostende,1.0,0.0,H
Mechelen,Waregem,2.0,2.0,D
Cercle Brugge,Standard,1.0,1.0,D
Seraing,Charleroi,1.0,3.0,A
Gent,Eupen,2.0,0.0,H
Charleroi,Genk,2.0,0.0,H
Beerschot VA,Mechelen,0.0,1.0,A
St Truiden,Anderlecht,2.0,2.0,D
Standard,Oud-Heverlee Leuven,2.0,2.0,D
Oostende,Cercle Brugge,2.0,1.0,H
Waregem,Antwerp,2.0,1.0,H
St. Gilloise,Seraing,4.0,2.0,H
Club Brugge,Kortrijk,2.0,0.0,H
Eupen,Genk,3.0,2.0,H
Antwerp,Gent,1.0,0.0,H
Seraing,Waregem,5.0,1.0,H
Anderlecht,Club Brugge,1.0,1.0,D
Oud-Heverlee Leuven,Beerschot VA,0.0,0.0,D
Cercle Brugge,St. Gilloise,0.0,3.0,A
St Truiden,Oostende,1.0,1.0,D
Kortrijk,Charleroi,2.0,2.0,D
Mechelen,Standard,3.0,1.0,H
Charleroi,Mechelen,0.0,2.0,A
Genk,Seraing,3.0,0.0,H
Oostende,Anderlecht,2.0,2.0,D
Gent,Cercle Brugge,2.0,1.0,H
St. Gilloise,Antwerp,1.0,2.0,A
Standard,St Truiden,1.0,2.0,A
Waregem,Kortrijk,2.0,2.0,D
Beerschot VA,Eupen,0.0,3.0,A
Club Brugge,Oud-Heverlee Leuven,1.0,1.0,D
Anderlecht,Gent,1.0,1.0,D
Antwerp,Genk,4.0,2.0,H
Kortrijk,Gent,1.0,0.0,H
Standard,Anderlecht,0.0,1.0,A
Antwerp,Seraing,2.0,1.0,H
St Truiden,Genk,1.0,2.0,A
Charleroi,Club Brugge,0.0,1.0,A
Mechelen,Oud-Heverlee Leuven,2.0,0.0,H
St. Gilloise,Waregem,2.0,1.0,H
Oostende,Beerschot VA,3.0,1.0,H
Cercle Brugge,Eupen,1.0,2.0,A
Beerschot VA,St Truiden,0.0,1.0,A
Genk,St. Gilloise,1.0,1.0,D
Oud-Heverlee Leuven,Kortrijk,2.0,1.0,H
Seraing,Standard,0.0,1.0,A
Gent,Charleroi,2.0,3.0,A
Anderlecht,Mechelen,7.0,2.0,H
Waregem,Cercle Brugge,2.0,4.0,A
Eupen,Antwerp,0.0,1.0,A
Club Brugge,Oostende,3.0,0.0,H
Oostende,Waregem,0.0,2.0,A
Genk,Anderlecht,1.0,0.0,H
Antwerp,Oud-Heverlee Leuven,2.0,2.0,D
Gent,Club Brugge,6.0,1.0,H
St. Gilloise,Standard,4.0,0.0,H
Cercle Brugge,St Truiden,0.0,1.0,A
Eupen,Seraing,1.0,2.0,A
Charleroi,Beerschot VA,5.0,2.0,H
Kortrijk,Mechelen,2.0,2.0,D
Mechelen,St. Gilloise,3.0,1.0,H
Club Brugge,Beerschot VA,3.0,2.0,H
Waregem,Charleroi,2.0,2.0,D
St Truiden,Kortrijk,0.0,2.0,A
Oud-Heverlee Leuven,Eupen,1.0,4.0,A
Seraing,Cercle Brugge,2.0,1.0,H
Standard,Oostende,1.0,0.0,H
Waregem,Club Brugge,0.0,4.0,A
Cercle Brugge,Anderlecht,1.0,2.0,A
Gent,Mechelen,2.0,0.0,H
Beerschot VA,Standard,0.0,1.0,A
Genk,Oud-Heverlee Leuven,4.0,0.0,H
Eupen,St Truiden,2.0,1.0,H
Seraing,Oostende,2.0,3.0,A
St. Gilloise,Kortrijk,2.0,0.0,H
Charleroi,Antwerp,1.0,1.0,D
Oostende,Gent,1.0,0.0,H
Anderlecht,Seraing,3.0,0.0,H
Oud-Heverlee Leuven,Charleroi,1.0,1.0,D
Standard,Antwerp,2.0,5.0,A
Kortrijk,Genk,1.0,2.0,A
Mechelen,Eupen,1.0,3.0,A
St Truiden,Waregem,1.0,3.0,A
Beerschot VA,St. Gilloise,0.0,3.0,A
Club Brugge,Cercle Brugge,1.0,1.0,D
Antwerp,Kortrijk,0.0,1.0,A
Gent,Beerschot VA,2.0,2.0,D
Waregem,Standard,1.0,2.0,A
St. Gilloise,Club Brugge,0.0,1.0,A
Eupen,Anderlecht,1.0,1.0,D
Cercle Brugge,Oud-Heverlee Leuven,1.0,1.0,D
Seraing,Mechelen,1.0,0.0,H
Charleroi,St Truiden,0.0,0.0,D
Genk,Oostende,3.0,4.0,A
Beerschot VA,Cercle Brugge,0.0,1.0,A
St Truiden,Gent,2.0,1.0,H
Anderlecht,St. Gilloise,1.0,3.0,A
Club Brugge,Eupen,2.0,2.0,D
Mechelen,Antwerp,3.0,2.0,H
Oostende,Charleroi,0.0,3.0,A
Kortrijk,Seraing,2.0,0.0,H
Oud-Heverlee Leuven,Waregem,1.0,1.0,D
Standard,Genk,1.0,1.0,D
Club Brugge,Mouscron,4.0,2.0,H
Kortrijk,Mechelen,1.0,4.0,A
Oostende,Cercle Brugge,1.0,1.0,D
Oud-Heverlee Leuven,Waasland-Beveren,1.0,2.0,A
St Truiden,Anderlecht,0.0,1.0,A
Standard,Beerschot VA,3.0,0.0,H
Waregem,Gent,2.0,7.0,A
Antwerp,Genk,3.0,2.0,H
Charleroi,Eupen,2.0,3.0,A
Mouscron,Antwerp,2.0,3.0,A
Beerschot VA,Oostende,1.0,2.0,A
Anderlecht,Club Brugge,2.0,1.0,H
Waasland-Beveren,Kortrijk,3.0,4.0,A
Genk,St Truiden,4.0,0.0,H
Gent,Charleroi,4.0,0.0,H
Mechelen,Waregem,4.0,2.0,H
Cercle Brugge,Oud-Heverlee Leuven,3.0,0.0,H
Eupen,Standard,0.0,4.0,A
Beerschot VA,Charleroi,2.0,1.0,H
Waasland-Beveren,St Truiden,2.0,4.0,A
Antwerp,Anderlecht,1.0,4.0,A
Waregem,Eupen,2.0,1.0,H
Oud-Heverlee Leuven,Genk,2.0,3.0,A
Charleroi,Mouscron,1.0,1.0,D
Standard,Gent,2.0,1.0,H
Cercle Brugge,Beerschot VA,2.0,1.0,H
Kortrijk,Club Brugge,1.0,2.0,A
St Truiden,Mechelen,2.0,1.0,H
Oostende,Waasland-Beveren,0.0,2.0,A
Gent,Cercle Brugge,1.0,0.0,H
Anderlecht,Waregem,4.0,1.0,H
